fp_0,fp_1,fp_2,fp_3,fp_4,fp_5,fp_6,fp_7,fp_8,fp_9,fp_10,fp_11,fp_12,fp_13,fp_14,fp_15,fp_16,fp_17,fp_18,fp_19,fp_20,fp_21,fp_22,fp_23,fp_24,fp_25,fp_26,fp_27,fp_28,fp_29,fp_30,fp_31,color_name
0.3618347,0.4172508,0.008692726,0.004346363,0.0,0.0,0.004346363,0.0076061347,0.0,0.0,0.0,0.0010865907,0.028251357,0.73996824,0.3357565,0.18363383,0.09519823,0.11733735,0.74608845,0.47488418,0.38743466,0.19150342,0.083021715,0.036529552,0.15206425,0.1991638,0.25837463,0.35122803,0.46964976,0.608257,0.3189312,0.23415202,Violet
0.056591995,0.99812746,0.014980234,0.0,0.0,0.0,0.0066578817,0.0,0.0,0.0,0.0005548235,0.0033289408,0.01608988,0.0,0.0,0.0,0.082279004,0.11857856,0.6957416,0.38235536,0.42591485,0.31217623,0.17786784,0.19601762,0.08103774,0.13153951,0.1961348,0.24193874,0.20435603,0.23724091,0.49914548,0.7293396,Gold
0.973324,0.20870136,0.003078191,0.0,0.0,0.0,0.005540744,0.0006156382,0.0,0.0,0.0,0.0049251057,0.005540744,0.0,0.0,0.09480829,0.09834038,0.122636236,0.18048352,0.20940715,0.29155028,0.45699352,0.42691293,0.6502034,0.07782222,0.057440214,0.13155662,0.18529102,0.15286508,0.115806885,0.34556773,0.8847646,Red
0.9653095,0.23464647,0.0039107744,0.0,0.0,0.0,0.005214366,0.00065179577,0.0,0.0,0.0,0.0019553872,0.007821549,0.0,0.0,0.11406426,0.09670775,0.053356,0.24121358,0.14228266,0.21008925,0.520221,0.3001275,0.71030176,0.052622087,0.023589212,0.13518433,0.18145548,0.1324625,0.12520428,0.29849425,0.9072774,Red
0.09733956,0.9896988,0.104532145,0.0,0.0,0.0,0.0033565369,0.0,0.0,0.0,0.0,0.0091106,0.0,0.0,0.0,0.0,0.15628858,0.37821838,0.56576467,0.46782383,0.37821838,0.24797788,0.21151055,0.21046862,0.21965486,0.11429196,0.14375785,0.23662007,0.18751024,0.20268965,0.30537382,0.8321883,Gold
0.10191718,0.08197686,0.28581122,0.20383435,0.31461388,0.871835,0.008862363,0.0011077954,0.0,0.0,0.0,0.009970158,0.019940317,0.0,0.0,0.0011077954,0.092924066,0.0025458648,0.09674286,0.20876092,0.30168498,0.546088,0.2316737,0.7039316,0.25064355,0.15348399,0.20699215,0.32245716,0.46467626,0.70123875,0.22529759,0.09152714,Green
0.07079934,0.13186377,0.9885358,0.0,0.0,0.0061949426,0.0,0.0008849918,0.0,0.0,0.0,0.0017699836,0.017699836,0.0053099506,0.0035399671,0.0,0.08735266,0.0,0.09847028,0.22711693,0.28588146,0.5098219,0.27635208,0.71629184,0.091896586,0.023280468,0.06494025,0.17889202,0.12130349,0.08822072,0.18134259,0.9483728,Yellow
0.24109627,0.97029436,0.007681989,0.0,0.0,0.0,0.004727378,0.00059092225,0.0,0.0,0.0,0.002363689,0.017727667,0.0,0.0,0.0,0.09602163,0.069088735,0.35129866,0.28220993,0.32787874,0.37588957,0.29509088,0.66863847,0.089594804,0.16485444,0.19352476,0.31895748,0.38227114,0.5686283,0.26161683,0.5363742,Brown
0.064680375,0.99526197,0.07167285,0.0,0.0,0.00058270607,0.0029135305,0.00058270607,0.0,0.0,0.0,0.007575179,0.008157885,0.0,0.0,0.0,0.08278525,0.15357263,0.6598824,0.5423034,0.36233544,0.18356729,0.17876814,0.20756301,0.107834466,0.08692779,0.14414607,0.19146119,0.1936619,0.18705979,0.46874982,0.7944539,Gold
0.955486,0.29201138,0.0051592113,0.0,0.0,0.0020636846,0.009286581,0.003095527,0.0,0.0,0.0,0.0,0.018573161,0.0,0.0,0.03611448,0.09767214,0.021310287,0.20244771,0.16693057,0.29834402,0.5558433,0.25572345,0.6766016,0.057750158,0.025835598,0.07598705,0.24771778,0.15805307,0.15957281,0.35409966,0.8677721,Red
